Gene stable ID	Transcript stable ID
ENSG00000155508	ENST00000520671
ENSG00000155508	ENST00000521583
ENSG00000155508	ENST00000519404
ENSG00000125107	ENST00000317147
ENSG00000125107	ENST00000569240
ENSG00000125107	ENST00000567188
ENSG00000125107	ENST00000441024
ENSG00000163877	ENST00000296215
ENSG00000090905	ENST00000450465
ENSG00000090905	ENST00000568750
ENSG00000090905	ENST00000569376
ENSG00000090905	ENST00000569098
ENSG00000128016	ENST00000597629
ENSG00000100354	ENST00000446273
ENSG00000168610	ENST00000264657
ENSG00000168610	ENST00000585517
ENSG00000168610	ENST00000588969
ENSG00000168610	ENST00000404395
ENSG00000206557	ENST00000383763
ENSG00000173933	ENST00000310092
ENSG00000173933	ENST00000396053
ENSG00000173933	ENST00000408993
ENSG00000173933	ENST00000483858
ENSG00000173933	ENST00000398692
ENSG00000173933	ENST00000530235
ENSG00000173933	ENST00000532968
ENSG00000173933	ENST00000409406
ENSG00000078687	ENST00000636222
ENSG00000078687	ENST00000585438
ENSG00000078687	ENST00000588549
ENSG00000124571	ENST00000265351
ENSG00000132341	ENST00000543796
ENSG00000132341	ENST00000392369
ENSG00000163565	ENST00000368131
ENSG00000163565	ENST00000368132
ENSG00000163565	ENST00000295809
ENSG00000163565	ENST00000359709
ENSG00000163565	ENST00000448393
ENSG00000127528	ENST00000248071
ENSG00000114487	ENST00000232603
ENSG00000102974	ENST00000401394
ENSG00000233276	ENST00000419783
ENSG00000233276	ENST00000419349
ENSG00000198026	ENST00000322927
ENSG00000087510	ENST00000201031
ENSG00000147596	ENST00000276594
ENSG00000068024	ENST00000345617
ENSG00000068024	ENST00000543185
ENSG00000182979	ENST00000331320
ENSG00000182979	ENST00000405646
ENSG00000182979	ENST00000438610
ENSG00000108840	ENST00000588261
ENSG00000108840	ENST00000588703
ENSG00000139372	ENST00000392872
ENSG00000094631	ENST00000334136
ENSG00000094631	ENST00000376619
ENSG00000174842	ENST00000370360
ENSG00000174842	ENST00000495106
ENSG00000234495	ENST00000437160
ENSG00000234495	ENST00000412687
ENSG00000139154	ENST00000398864
ENSG00000139154	ENST00000266508
ENSG00000139154	ENST00000360995
ENSG00000237071	ENST00000435528
ENSG00000237071	ENST00000427689
ENSG00000088305	ENST00000328111
ENSG00000088305	ENST00000353855
ENSG00000088305	ENST00000348286
ENSG00000088305	ENST00000443239
ENSG00000088305	ENST00000456297
ENSG00000088305	ENST00000201963
